id,region,price,year,manufacturer,model,condition,odometer,title_status,type,paint_color,state,posting_date
7314584291,auburn,31590,2019,cadillac,xt4 sport suv 4d,good,12102,clean,hatchback,black,al,2021-05-04T12:31:18-0500
7314560853,auburn,19900,2004,ford,f250 super duty,good,88000,clean,pickup,blue,al,2021-05-04T12:31:08-0500
7313857831,auburn,16590,2016,jeep,renegade sport suv 4d,good,35835,clean,other,red,al,2021-05-04T12:31:25-0500
7313857767,auburn,26990,2016,ford,f150 regular cab xl pickup,good,14230,clean,pickup,black,al,2021-05-04T10:41:31-0500
7313857701,auburn,25590,2015,gmc,sierra 1500 regular cab,good,35290,clean,pickup,white,al,2021-05-03T14:02:03-0500
7313406529,auburn,14000,2012,honda,odyssey,excellent,95000,clean,mini-van,silver,al,2021-05-03T13:41:25-0500
